"INTITULÉS DE LA MISSION ET DU PROGRAMME, 
OU DE LA DOTATION";"NUMÉRO 
du programme 
ou de la dotation";"AUTORISATIONS 
d'engagement annulées";"CRÉDITS 
de paiement annulés"
Action extérieure de l'État;;174014021;174014021
Action de la France en Europe et dans le monde;105;134476384;134476384
Dont titre 2;;14436636;14436636
Français à l'étranger et affaires consulaires;151;11493051;11493051
Dont titre 2;;8042299;8042299
Diplomatie culturelle et d'influence;185;28044586;28044586
Dont titre 2;;778933;778933
Administration générale et territoriale de l'État;;170520389;170520389
Conduite et pilotage des politiques de l'intérieur;216;84912087;84912087
Dont titre 2;;12944460;12944460
Vie politique;232;19663918;19663918
Dont titre 2;;632627;632627
Administration territoriale de l'État;354;65944384;65944384
Dont titre 2;;21204124;21204124
Agriculture, alimentation, forêt et affaires rurales;;70523635;70523635
Sécurité et qualité sanitaires de l'alimentation;206;10512570;10512570
Dont titre 2;;10512570;10512570
Conduite et pilotage des politiques de l'agriculture;215;60011065;60011065
Dont titre 2;;60011065;60011065
Aide publique au développement;;742115795;742115795
Aide économique et financière au développement;110;250000000;200000000
Solidarité à l'égard des pays en développement;209;492115795;542115795
Dont titre 2;;2115795;2115795
Anciens combattants, mémoire et liens avec la Nation;;24055927;24055927
Indemnisation des victimes des persécutions antisémites et des actes de barbarie pendant la seconde guerre mondiale;158;7055927;7055927
Reconnaissance et réparation en faveur du monde combattant, mémoire et liens avec la Nation;169;17000000;17000000
Avances à l'audiovisuel public;;20000000;20000000
Programme de transformation;848;20000000;20000000
Cohésion des territoires;;736800346;736800346
Aide à l'accès au logement;109;300000000;300000000
Impulsion et coordination de la politique d'aménagement du territoire;112;26114412;26114412
Urbanisme, territoires et amélioration de l'habitat;135;358922453;358922453
Politique de la ville;147;49064685;49064685
Interventions territoriales de l'État;162;2698796;2698796
Conseil et contrôle de l'État;;14924590;14924590
Conseil économique, social et environnemental;126;755477;755477
Dont titre 2;;16497;16497
Cour des comptes et autres juridictions financières;164;1229918;1229918
Conseil d'État et autres juridictions administratives;165;12939195;12939195
Contrôle et exploitation aériens;;20000000;20000000
Navigation aérienne;612;8000000;8000000
Soutien aux prestations de l'aviation civile;613;10000000;10000000
Transports aériens, surveillance et certification;614;2000000;2000000
Culture;;204346822;204346822
Création;131;95961028;95961028
Patrimoines;175;99540106;99540106
Soutien aux politiques du ministère de la culture;224;8845688;8845688
Dont titre 2;;3263905;3263905
Défense;;105752151;105752151
Soutien de la politique de la défense;212;105752151;105752151
Dont titre 2;;105752151;105752151
Direction de l'action du Gouvernement;;50889310;50889310
Coordination du travail gouvernemental;129;43975635;43975635
Dont titre 2;;13975635;13975635
Protection des droits et libertés;308;6913675;6913675
Dont titre 2;;1078931;1078931
Écologie, développement et mobilité durables;;2138504838;2221700000
Paysages, eau et biodiversité;113;56687011;46820533
Expertise, information géographique et météorologie;159;11227596;11227596
Énergie, climat et après-mines;174;950000000;1300000000
Prévention des risques;181;60000000;70000000
Infrastructures et services de transports;203;341121742;341121742
Affaires maritimes, pêche et aquaculture;205;10000000;10000000
Conduite et pilotage des politiques de l'écologie, du développement et de la mobilité durables;217;12963651;12530129
Service public de l'énergie;345;196504838;
Fonds d'accélération de la transition écologique dans les territoires;380;500000000;430000000
Économie;;224789521;303789521
Développement des entreprises et régulations;134;176383813;176383813
Dont titre 2;;1500000;1500000
Statistiques et études économiques;220;2078002;2078002
Dont titre 2;;78002;78002
Stratégies économiques;305;8516201;8516201
Dont titre 2;;3516201;3516201
Plan France Très haut débit;343;37811505;116811505
Engagements financiers de l'État;;900000000;900000000
Appels en garantie de l'État (crédits évaluatifs);114;100000000;100000000
Charge de la dette et trésorerie de l'État (crédits évaluatifs);117;800000000;800000000
Enseignement scolaire;;691624689;691624689
Enseignement privé du premier et du second degrés;139;98915066;98915066
Dont titre 2;;87635459;87635459
Enseignement scolaire public du premier degré;140;138288231;138288231
Dont titre 2;;131236174;131236174
Enseignement scolaire public du second degré;141;123492919;123492919
Dont titre 2;;87288861;87288861
Enseignement technique agricole;143;8571192;8571192
Dont titre 2;;8571192;8571192
Soutien de la politique de l'éducation nationale;214;60601210;60601210
Vie de l'élève;230;261756071;261756071
Dont titre 2;;163839506;163839506
Gestion des finances publiques;;234970950;234970950
Gestion fiscale et financière de l'État et du secteur public local;156;108720950;108720950
Dont titre 2;;8207323;8207323
Conduite et pilotage des politiques économiques et financières;218;106250000;106250000
Dont titre 2;;2250000;2250000
Facilitation et sécurisation des échanges;302;20000000;20000000
Immigration, asile et intégration;;174689889;174689889
Intégration et accès à la nationalité française;104;60000000;60000000
Immigration et asile;303;114689889;114689889
Justice;;327877590;327877590
Administration pénitentiaire;107;117598514;117598514
Dont titre 2;;14566711;14566711
Justice judiciaire;166;129196532;129196532
Dont titre 2;;4778445;4778445
Protection judiciaire de la jeunesse;182;37904655;37904655
Dont titre 2;;787470;787470
Conduite et pilotage de la politique de la justice;310;42978821;42978821
Dont titre 2;;3492382;3492382
Conseil supérieur de la magistrature;335;199068;199068
Outre-mer;;78798767;78798767
Conditions de vie outre-mer;123;74876808;74876808
Emploi outre-mer;138;3921959;3921959
Dont titre 2;;3921959;3921959
Prêts et avances à des particuliers ou à des organismes privés;;;13800000
Prêts à la société concessionnaire de la liaison express entre Paris et l'aéroport Paris-Charles de Gaulle;869;;13800000
Publications officielles et information administrative;;6958039;6958039
Édition et diffusion;623;3600664;3600664
Pilotage et ressources humaines;624;3357375;3357375
Recherche et enseignement supérieur;;904247682;904247682
Enseignement supérieur et recherche agricoles;142;3919158;3919158
Dont titre 2;;3919158;3919158
Formations supérieures et recherche universitaire;150;80100000;80100000
Recherches scientifiques et technologiques pluridisciplinaires;172;383100000;383100000
Recherche dans les domaines de l'énergie, du développement et de la mobilité durables;190;109128524;109128524
Recherche et enseignement supérieur en matière économique et industrielle;192;10000000;10000000
Recherche spatiale;193;192900000;192900000
Vie étudiante;231;125100000;125100000
Santé;;70000000;70000000
Protection maladie;183;50000000;50000000
Prévention, sécurité sanitaire et offre de soins;204;20000000;20000000
Sécurités;;232121365;232121365
Gendarmerie nationale;152;20000000;20000000
Sécurité civile;161;52766476;52766476
Police nationale;176;134354889;134354889
Sécurité et éducation routières;207;25000000;25000000
Solidarité, insertion et égalité des chances;;307000000;307000000
Conduite et soutien des politiques sanitaires et sociales;124;20000000;20000000
Égalité entre les femmes et les hommes;137;7000000;7000000
Handicap et dépendance;157;230000000;230000000
Inclusion sociale et protection des personnes;304;50000000;50000000
Sport, jeunesse et vie associative;;180001117;180001117
Jeunesse et vie associative;163;129486245;129486245
Sport;219;50514872;50514872
Transformation et fonction publiques;;94472567;94472567
Fonction publique;148;12233092;12233092
Performance et résilience des bâtiments de l'État et de ses opérateurs;348;42972567;42972567
Transformation publique;349;10266908;10266908
Dont titre 2;;500000;500000
Innovation et transformation numériques;352;29000000;29000000
Travail et emploi;;1100000000;1100000000
Accès et retour à l'emploi;102;227954579;227954579
Accompagnement des mutations économiques et développement de l'emploi;103;863550472;863550472
Amélioration de la qualité de l'emploi et des relations du travail;111;5000000;5000000
Conception, gestion et évaluation des politiques de l'emploi et du travail;155;3494949;3494949
Totaux;;10000000000;10175995162
Dont titre 2;;780854471;780854471
