"Session","Bac général","Bac professionnel","Bac technologique"
"2010",15519.8295,77280.5175,25975.9784
"2011",18144.0179,102226.0078,25283.0157
"2012",19394,123895.9979,24583.9975
"2013",20797.9625,96378.9855,28442.971
"2014",20414.0004,122630.998,27329.9957
"2015",21369.9917,112149.9979,24168.9933
"2016",25101.0133,114872.0011,26093.0137
"2017",27611.0146,109028.0049,26978.0123
"2018",26038.9785,108519.9925,29497.9895
"2019",21876.9863,101044.9903,26800.9909
"2020",27346.105,107966.0303,31875.0363
"2021",22415.9426,97691.9697,27446.9417
"2022",26751.99838,92503.99857,24913.99763
"2023",27947.00908,89661.00461,24902.00463
