"Rentrée","Etudiants","EEC_Permanents","EEC_Non_Permanents","BIATSS_Permanents","BIATSS_Non_Permanents","MESRI_Ressources","MESRI_MasseSalariale","EPSTEPIC_Non permanents","EPSTEPIC_Permanents"
2006,1447198,NA,NA,NA,NA,NA,NA,NA,NA
2007,1409680,NA,NA,NA,NA,NA,NA,NA,NA
2008,1388757,NA,NA,NA,NA,NA,NA,NA,NA
2009,1429684,NA,NA,NA,NA,6713778165.3,5013017988.16,NA,NA
2010,1420672,62578,NA,NA,NA,8310332030.43,6641933166.29,NA,NA
2011,1429521,63009,NA,NA,NA,10472020514.79,8406381017.79,NA,NA
2012,1443027,63025,22466,NA,NA,10084998024.24,8173479554.26,NA,NA
2013,1477820,63321,22298,NA,NA,12707468016.12,10230872715.37,NA,NA
2014,1506063,63292,21865,NA,NA,12754433795,10355838983.78,20540,62724
2015,1547966,62994,22945,47776,29551,13212095037,10696023705,20237,62344
2016,1567910,62993,23956,47982,30720,12720319369,10311193844,19706,62112
2017,1583630,61951,24073,47603,29905,12685949239,10152863191,19708,61826
2018,1612633,61964,23700,48654,29902,13823191984,10985407500,19737,61742
2019,1736721,63115,25966,49357,31337,13430387160,10802190015,19990,61701
2020,1766515,63077,27164,49552,32982,14631560721,11617363501,20438,61818
2021,1785630,NA,NA,NA,NA,NA,NA,NA,NA
